what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1312272205457
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.100.v201011172300,"org.eclipse.wst.common.emfworkbench.integration",1312272205457
started,bundle,org.eclipse.wst.common.frameworks,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks",1312272205457
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1312272205457
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1312272205458
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1312272205458
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1312272205458
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1312272205458
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1312272205458
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1312272205459
os,sysinfo,,,"macosx",1312272205461
arch,sysinfo,,,"x86_64",1312272205461
ws,sysinfo,,,"cocoa",1312272205461
locale,sysinfo,,,"ja_JP",1312272205461
processors,sysinfo,,,"8",1312272205461
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1312272205461
java.runtime.version,sysinfo,,,"1.6.0_26-b03-384-10M3425",1312272205461
java.specification.name,sysinfo,,,"Java Platform API Specification",1312272205461
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312272205461
java.specification.version,sysinfo,,,"1.6",1312272205461
java.vendor,sysinfo,,,"Apple Inc.",1312272205461
java.version,sysinfo,,,"1.6.0_26",1312272205461
java.vm.info,sysinfo,,,"mixed mode",1312272205461
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1312272205461
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1312272205461
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312272205461
java.vm.specification.version,sysinfo,,,"1.0",1312272205461
